feature,importance_mean,importance_std
num__elo_ratio,0.03139279437609839,0.004693678954251177
num__elo_diff,0.020057117750439325,0.004178669561940079
num__neutral,0.009138840070298726,0.0028797837624207345
num__elo_abs_diff,0.005777680140597485,0.0016470414892554043
num__pts_2y_diff,0.004130052724077282,0.0019570349254235462
num__gd_l10_diff,0.00391036906854123,0.001649237643156725
num__home_elo,0.0037565905096660357,0.002391324956862019
num__conf_strength_diff,0.003405096660808393,0.001121247816799205
num__away_elo,0.003405096660808393,0.002763564504703231
cat__away_confederation_CAF,0.0029876977152899276,0.001344205495674719
num__away_conf_strength,0.0028339191564147213,0.0011349377287424897
num__gd_2y_diff,0.0020430579964849983,0.0012272827525011821
num__home_pts_2y,0.00182337434094898,0.0011791508699753436
num__tournament_weight,0.0017794376098417496,0.0013944289167450135
num__w_rate_l10_diff,0.001691564147627367,0.0005295242000524516
num__pts_l10_diff,0.0015817223198593578,0.0010798071816735095
cat__away_confederation_UEFA,0.0015817223198593578,0.0010247718620114727
num__w_rate_2y_diff,0.0014279437609841295,0.0008910061419452141
num__away_pts_2y,0.0014059753954305254,0.001354933562839144
num__home_conf_strength,0.001318101933216098,0.0008621009169748968
cat__home_confederation_AFC,0.0011643233743409032,0.0003682569115606579
cat__away_confederation_CONCACAF,0.0011643233743408921,0.0008567662565905016
cat__home_confederation_CAF,0.001054481546572883,0.0006502042437147943
num__gf_2y_diff,0.0007688927943760526,0.002068412323349106
num__is_competitive,0.0006810193321616365,0.0007381501588933014
cat__home_confederation_CONMEBOL,0.0006151142355008355,0.0005626646957322313
cat__home_confederation_CONCACAF,0.00048330404217920007,0.00029144330319465434
num__same_confederation,0.0004393673110720031,0.0006056260435891949
cat__away_confederation_OFC,0.00037346221441117986,0.00024165202108961014
cat__home_confederation_OFC,0.0002196836555359627,0.000219683655535996
cat__home_confederation_UEFA,4.3936731107163675e-05,0.0003905182081421381
cat__away_confederation_Unknown,4.393673110715257e-05,0.0005959868174978109
num__match_year,0.0,0.0
cat__away_confederation_AFC,-4.393673110724139e-05,0.0003075571177504122
cat__away_confederation_CONMEBOL,-0.00010984182776805352,0.00041970503459011753
cat__home_confederation_Unknown,-0.00028558875219688586,0.0005648049267215415
